City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
626,Cururupu,BR,74.21,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
627,Monrovia,LR,83.97,light rain,6.3005,-10.7969,Sunset Inn
632,San Jose,US,72.54,clear sky,37.3394,-121.895,The Westin San Jose
636,Firminopolis,BR,82.42,few clouds,-16.5819,-50.305,In casa hotel
638,Deming,US,71.49,clear sky,32.2687,-107.7586,Best Western Deming Southwest Inn
639,Indramayu,ID,77.14,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
641,Souillac,MU,77.38,moderate rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
645,Mbengwi,CM,71.46,scattered clouds,6.0167,10.0,Senate Hotel
646,Mitsamiouli,KM,81.46,clear sky,-11.3847,43.2844,Foyer ADM
647,Soto,AR,70.03,clear sky,-32.8107,-61.4026,Hotel Verdesole
648,San Juan Del Parana,PY,75.25,clear sky,-27.3,-55.9667,Del Sur Hotel - Museo
652,Pitangueiras,BR,77.52,clear sky,-21.0094,-48.2217,Taboca's Hotel
653,Santander Jimenez,MX,84.4,broken clouds,24.2167,-98.4667,Papas inc
660,Luwuk,ID,77.09,scattered clouds,-0.9516,122.7875,Hotel Santika Luwuk
662,Hun,LY,76.01,broken clouds,29.1268,15.9477,Alrwasi Hotel
664,Acambay,MX,79.84,overcast clouds,19.9558,-99.8417,La Huerta
665,Beloha,MG,73.15,clear sky,-25.1667,45.05,
667,San Juan,AR,77.7,clear sky,-31.5375,-68.5364,Hotel Provincial
684,Maputo,MZ,79.23,clear sky,-25.9653,32.5892,Pestana Rovuma
